transaction_id,customer_id,transaction_amount,transaction_date,merchant_category,city
1,1281,2437,2022-01-01,Travel,Mumbai
2,1233,308,2022-01-02,Dining,Bangalore
3,281,2560,2022-01-03,Fuel,Delhi
4,443,3542,2022-01-04,Electronics,Delhi
5,1864,2811,2022-01-05,Fuel,Delhi
6,837,2437,2022-01-06,Grocery,Chennai
7,389,1391,2022-01-07,Electronics,Mumbai
8,617,2298,2022-01-08,Grocery,Mumbai
9,147,1500,2022-01-09,Dining,Mumbai
10,521,2755,2022-01-10,Fuel,Bangalore
11,630,4112,2022-01-11,Travel,Chennai
12,2482,804,2022-01-12,Electronics,Delhi
13,2192,925,2022-01-13,Travel,Bangalore
14,289,1104,2022-01-14,Grocery,Mumbai
15,1410,3560,2022-01-15,Travel,Delhi
16,14,476,2022-01-16,Travel,Chennai
17,257,1072,2022-01-17,Dining,Kolkata
18,1722,4313,2022-01-18,Dining,Mumbai
19,1424,3176,2022-01-19,Fuel,Mumbai
20,1231,543,2022-01-20,Grocery,Mumbai
21,858,854,2022-01-21,Dining,Mumbai
22,1196,3704,2022-01-22,Dining,Delhi
23,464,4835,2022-01-23,Fuel,Chennai
24,270,2271,2022-01-24,Electronics,Bangalore
25,1245,2805,2022-01-25,Fuel,Delhi
26,1207,3565,2022-01-26,Travel,Chennai
27,72,2811,2022-01-27,Travel,Bangalore
28,1307,2507,2022-01-28,Dining,Mumbai
29,2122,722,2022-01-29,Dining,Chennai
30,2403,1823,2022-01-30,Fuel,Mumbai
31,1751,3422,2022-01-31,Fuel,Chennai
32,497,2019,2022-02-01,Grocery,Kolkata
33,988,1018,2022-02-02,Travel,Mumbai
34,910,4315,2022-02-03,Fuel,Mumbai
35,373,681,2022-02-04,Electronics,Mumbai
36,362,3981,2022-02-05,Grocery,Delhi
37,2141,1786,2022-02-06,Fuel,Bangalore
38,1345,4009,2022-02-07,Dining,Mumbai
39,324,2099,2022-02-08,Fuel,Mumbai
40,2432,2811,2022-02-09,Dining,Delhi
41,575,500,2022-02-10,Dining,Delhi
42,736,3748,2022-02-11,Travel,Kolkata
43,2394,2728,2022-02-12,Travel,Chennai
44,1216,1756,2022-02-13,Fuel,Mumbai
45,1696,720,2022-02-14,Fuel,Chennai
46,1908,346,2022-02-15,Electronics,Delhi
47,719,3439,2022-02-16,Grocery,Delhi
48,781,3110,2022-02-17,Grocery,Kolkata
49,1020,4819,2022-02-18,Fuel,Bangalore
50,1404,2468,2022-02-19,Travel,Delhi
51,1427,4094,2022-02-20,Electronics,Mumbai
52,664,1939,2022-02-21,Grocery,Kolkata
53,1773,3003,2022-02-22,Fuel,Bangalore
54,11,4495,2022-02-23,Travel,Kolkata
55,2235,4598,2022-02-24,Travel,Delhi
56,1039,3791,2022-02-25,Travel,Bangalore
57,2459,3941,2022-02-26,Dining,Chennai
58,585,4448,2022-02-27,Travel,Bangalore
59,1076,1492,2022-02-28,Fuel,Mumbai
60,1375,3850,2022-03-01,Electronics,Chennai
61,1452,4355,2022-03-02,Fuel,Chennai
62,1855,3108,2022-03-03,Travel,Mumbai
63,1790,4400,2022-03-04,Electronics,Chennai
64,743,3438,2022-03-05,Grocery,Delhi
65,1777,3614,2022-03-06,Grocery,Bangalore
